asrtname,failcount,mutantcnt,mutant
82,296,20,"[12, 14, 15, 16, 19, 20, 21, 23, 24, 25, 4, 42, 43, 50, 51, 60, 61, 70, 71, 79]"
130,90,18,"[16, 17, 19, 2, 20, 21, 23, 24, 25, 27, 34, 37, 42, 50, 51, 60, 61, 66]"
59,159,17,"[10, 15, 19, 2, 20, 21, 27, 28, 38, 4, 42, 43, 45, 46, 60, 71, 79]"
79,43,16,"[14, 16, 19, 2, 20, 21, 35, 36, 42, 50, 51, 57, 70, 71, 76, 79]"
60,22,14,"[10, 19, 20, 21, 27, 35, 36, 38, 4, 42, 51, 60, 61, 79]"
7,18,14,"[10, 12, 19, 2, 20, 21, 23, 24, 25, 27, 37, 45, 50, 52]"
10,54,14,"[11, 13, 19, 2, 20, 21, 23, 24, 25, 3, 31, 41, 50, 52]"
12,42,14,"[10, 12, 13, 16, 19, 2, 20, 21, 22, 3, 50, 52, 82, 83]"
120,18,13,"[10, 16, 17, 19, 20, 21, 23, 24, 25, 27, 42, 50, 51]"
43,541,13,"[14, 15, 35, 36, 4, 42, 43, 50, 51, 60, 61, 70, 71]"
49,30,12,"[16, 19, 2, 20, 21, 4, 42, 51, 57, 70, 71, 79]"
142,11,11,"[12, 13, 19, 20, 21, 22, 37, 45, 46, 70, 72]"
39,72,11,"[12, 16, 17, 19, 20, 21, 23, 24, 25, 50, 52]"
85,130,11,"[16, 17, 18, 19, 20, 21, 23, 24, 25, 34, 79]"
132,84,10,"[16, 17, 18, 19, 20, 21, 23, 24, 25, 34]"
111,11,10,"[10, 16, 17, 23, 24, 25, 27, 42, 50, 51]"
162,30,10,"[17, 18, 19, 20, 21, 23, 24, 25, 34, 72]"
38,25,10,"[12, 17, 19, 20, 21, 23, 24, 25, 50, 52]"
182,14,10,"[12, 16, 17, 19, 20, 21, 23, 24, 25, 62]"
147,14,9,"[16, 18, 2, 20, 21, 23, 24, 25, 65]"
125,17,8,"[10, 16, 2, 27, 38, 42, 50, 51]"
61,12,8,"[16, 17, 21, 23, 24, 25, 3, 42]"
154,12,8,"[16, 17, 2, 23, 24, 25, 70, 72]"
140,7,7,"[19, 20, 21, 37, 45, 70, 72]"
53,124,6,"[16, 19, 20, 21, 4, 79]"
95,6,6,"[19, 2, 20, 21, 42, 60]"
186,31,5,"[16, 19, 20, 21, 62]"
17,26,5,"[16, 19, 20, 21, 52]"
11,7,5,"[10, 12, 2, 37, 50]"
84,209,5,"[16, 19, 20, 21, 79]"
78,7,5,"[16, 19, 20, 21, 79]"
183,13,5,"[12, 16, 19, 20, 21]"
36,5,5,"[12, 2, 45, 50, 52]"
172,10,5,"[16, 19, 20, 21, 62]"
41,49,5,"[16, 19, 20, 21, 52]"
187,1732,5,"[16, 19, 20, 21, 3]"
160,4,4,"[12, 19, 20, 21]"
101,23,4,"[16, 19, 20, 21]"
105,4,4,"[17, 23, 24, 25]"
83,26,4,"[16, 20, 21, 79]"
131,54,4,"[16, 19, 20, 21]"
141,4,4,"[27, 35, 42, 43]"
16,11,4,"[19, 20, 21, 52]"
178,3,3,"[10, 2, 60]"
128,3,3,"[20, 21, 42]"
171,3,3,"[11, 2, 26]"
143,5,3,"[19, 21, 72]"
152,3,3,"[2, 45, 72]"
77,22,2,"[42, 43]"
58,2,2,"[42, 43]"
45,30,2,"[42, 43]"
44,30,2,"[35, 36]"
62,6,2,"[42, 43]"
66,43,2,"[42, 43]"
161,5,2,"[2, 55]"
98,2,2,"[3, 37]"
81,9,2,"[50, 51]"
89,56,1,[42]
1,42,1,[2]
121,17,1,[42]
133,28,1,[2]
2,6,1,[50]
163,28,1,[2]
164,5,1,[60]
168,17,1,[60]
179,1,1,[2]
135,14,1,[70]
87,19,1,[42]
86,39,1,[2]
48,2,1,[50]
4,31,1,[50]
18,2,1,[50]
22,1,1,[50]
27,4,1,[50]
37,1,1,[50]
40,2,1,[50]
42,41,1,[2]
46,4,1,[60]
188,236,1,[6]
68,1,1,[79]
75,1,1,[35]
67,0,0,[]
155,0,0,[]
156,0,0,[]
157,0,0,[]
159,0,0,[]
28,0,0,[]
71,0,0,[]
26,0,0,[]
23,0,0,[]
93,0,0,[]
165,0,0,[]
166,0,0,[]
167,0,0,[]
20,0,0,[]
153,0,0,[]
19,0,0,[]
92,0,0,[]
174,0,0,[]
176,0,0,[]
14,0,0,[]
13,0,0,[]
180,0,0,[]
9,0,0,[]
5,0,0,[]
184,0,0,[]
3,0,0,[]
29,0,0,[]
30,0,0,[]
106,0,0,[]
103,0,0,[]
107,0,0,[]
108,0,0,[]
109,0,0,[]
65,0,0,[]
115,0,0,[]
119,0,0,[]
63,0,0,[]
57,0,0,[]
56,0,0,[]
51,0,0,[]
50,0,0,[]
47,0,0,[]
151,0,0,[]
134,0,0,[]
69,0,0,[]
136,0,0,[]
137,0,0,[]
138,0,0,[]
97,0,0,[]
96,0,0,[]
88,0,0,[]
33,0,0,[]
32,0,0,[]
150,0,0,[]
34,0,0,[]
