mutant,failcount,asrtname
7,12539,"[32, 332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 426, 432, 481, 482, 483, 484, 485, 486, 487, 488, 539, 540, 543, 545]"
11,10483,"[332, 333, 352, 353, 374, 375, 376, 378, 379, 380, 410, 411, 412, 413, 414, 415, 416, 417, 482, 483, 484, 486, 487, 488, 519, 520, 521, 522]"
8,9710,"[332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 481, 482, 483, 484, 485, 486, 487, 488]"
10,7822,"[398, 399, 400, 401, 402, 403, 404, 405, 509, 510, 511, 512, 513, 514, 515]"
9,7702,"[386, 387, 388, 389, 390, 391, 392, 393, 497, 498, 499, 500, 501, 502, 503]"
12,4551,"[332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 426, 432, 481, 482, 483, 484, 485, 486, 487, 488, 539, 540, 543, 545]"
21,3364,"[332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 481, 482, 483, 484, 485, 486, 487, 488]"
78,3362,"[352, 353, 410, 411, 412, 413, 414, 415, 416, 417, 519, 520, 521, 522]"
2,3249,"[269, 270, 278, 285, 300, 386, 387, 388, 389, 390, 391, 392, 393, 426, 432, 497, 498, 499, 500, 501, 502, 503, 539, 540, 543, 560, 561, 569, 576, 591]"
3,3051,"[269, 270, 278, 285, 300, 398, 399, 400, 401, 402, 403, 404, 405, 509, 510, 511, 512, 513, 514, 515, 539, 545, 560, 561, 569, 576, 591]"
40,2710,"[386, 387, 388, 389, 390, 391, 392, 393, 497, 498, 499, 500, 501, 502, 503]"
59,2700,"[398, 399, 400, 401, 402, 403, 404, 405, 509, 510, 511, 512, 513, 514, 515]"
14,2095,"[332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 481, 482, 483, 484, 485, 486, 487, 488]"
71,2030,"[352, 353, 410, 411, 412, 413, 414, 415, 416, 417, 519, 520, 521, 522]"
77,1726,"[352, 353, 410, 411, 412, 413, 414, 415, 416, 417, 519, 520, 521, 522]"
74,1726,"[352, 353, 410, 411, 412, 413, 414, 415, 416, 417, 519, 520, 521, 522]"
33,1718,"[386, 387, 388, 389, 390, 391, 392, 393, 497, 498, 499, 500, 501, 502, 503]"
17,1712,"[332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 481, 482, 483, 484, 485, 486, 487, 488]"
20,1712,"[332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 481, 482, 483, 484, 485, 486, 487, 488]"
52,1698,"[398, 399, 400, 401, 402, 403, 404, 405, 509, 510, 511, 512, 513, 514, 515]"
1,1630,"[332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 432, 481, 482, 483, 484, 485, 486, 487, 488, 539, 543, 545]"
58,1356,"[398, 399, 400, 401, 402, 403, 404, 405, 509, 510, 511, 512, 513, 514, 515]"
55,1356,"[398, 399, 400, 401, 402, 403, 404, 405, 509, 510, 511, 512, 513, 514, 515]"
36,1210,"[386, 387, 388, 389, 390, 391, 392, 393, 497, 498, 499, 500, 501, 502, 503]"
39,1210,"[386, 387, 388, 389, 390, 391, 392, 393, 497, 498, 499, 500, 501, 502, 503]"
4,1012,"[352, 353, 410, 411, 412, 413, 414, 415, 416, 417, 426, 432, 519, 520, 521, 522, 539, 543, 545]"
89,857,"[426, 432, 539, 540, 543, 545]"
79,847,"[352, 353, 410, 411, 412, 413, 414, 415, 416, 417, 519, 520, 521, 522]"
70,847,"[352, 353, 410, 411, 412, 413, 414, 415, 416, 417, 519, 520, 521, 522]"
22,745,"[332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 481, 482, 483, 484, 485, 486, 487, 488]"
13,745,"[332, 333, 373, 374, 375, 376, 377, 378, 379, 380, 481, 482, 483, 484, 485, 486, 487, 488]"
5,719,"[36, 373, 374, 375, 376, 377, 378, 379, 380, 386, 387, 388, 389, 390, 391, 392, 393, 398, 399, 400, 401, 402, 403, 404, 405, 410, 411, 412, 413, 414, 415, 416, 417, 426, 432, 481, 482, 483, 484, 485, 486, 487, 488, 497, 498, 499, 500, 501, 502, 503, 509, 510, 511, 512, 513, 514, 515, 519, 520, 521, 522, 539, 540, 543, 545]"
28,697,"[332, 333, 374, 375, 376, 378, 379, 380, 482, 483, 484, 486, 487, 488]"
19,697,"[332, 333, 374, 375, 376, 378, 379, 380, 482, 483, 484, 486, 487, 488]"
76,696,"[352, 353, 411, 412, 413, 415, 416, 417, 520, 521, 522]"
85,696,"[352, 353, 411, 412, 413, 415, 416, 417, 520, 521, 522]"
60,684,"[398, 399, 400, 401, 402, 403, 404, 405, 509, 510, 511, 512, 513, 514, 515]"
41,684,"[386, 387, 388, 389, 390, 391, 392, 393, 497, 498, 499, 500, 501, 502, 503]"
32,684,"[386, 387, 388, 389, 390, 391, 392, 393, 497, 498, 499, 500, 501, 502, 503]"
51,684,"[398, 399, 400, 401, 402, 403, 404, 405, 509, 510, 511, 512, 513, 514, 515]"
16,649,"[332, 333, 373, 374, 375, 377, 378, 379, 481, 482, 483, 485, 486, 487]"
25,649,"[332, 333, 373, 374, 375, 377, 378, 379, 481, 482, 483, 485, 486, 487]"
82,579,"[352, 353, 410, 411, 412, 414, 415, 416, 519, 520, 521]"
73,579,"[352, 353, 410, 411, 412, 414, 415, 416, 519, 520, 521]"
54,526,"[399, 400, 401, 403, 404, 405, 510, 511, 512, 514, 515]"
63,526,"[399, 400, 401, 403, 404, 405, 510, 511, 512, 514, 515]"
57,500,"[398, 399, 400, 402, 403, 404, 509, 510, 511, 513, 514, 515]"
66,500,"[398, 399, 400, 402, 403, 404, 509, 510, 511, 513, 514, 515]"
90,485,"[426, 432, 539, 540, 543, 545]"
35,458,"[387, 388, 389, 391, 392, 393, 498, 499, 500, 502, 503]"
38,458,"[386, 387, 388, 390, 391, 392, 497, 498, 499, 501, 502, 503]"
44,458,"[387, 388, 389, 391, 392, 393, 498, 499, 500, 502, 503]"
47,458,"[386, 387, 388, 390, 391, 392, 497, 498, 499, 501, 502, 503]"
91,338,"[426, 432, 539, 540, 543, 545]"
95,122,"[426, 432, 539, 540, 543, 545]"
93,102,"[426, 432, 539, 540, 543]"
6,38,"[332, 333, 352, 353, 426, 432, 539, 540]"
92,11,"[432, 539, 543, 545]"
94,4,"[539, 545]"
